locus_code,tradition,tradition_phase,position_label,position_description,primary_source_id,source_reference,secondary_source_id,epistemic_status,notes
L1.1,LUTHERAN,CONFESSIONAL,"real_presence","Christ's body and blood are truly and substantially present in, with, and under the bread and wine (in/sub/cum pane). Neither transubstantiation nor mere symbolism.",BookConcord_1580,"CA X (BSELK pp. 64-65); FC SD VII.35-38 (BSELK pp. 975-983)",,FACTUAL,"Definitive Lutheran position. FC SD VII explicitly rejects both transubstantiation and 'Sacramentarian' views."
L1.1,LUTHERAN,HUNGARIAN,"real_presence_regional","Regional Hungarian confessions reproduce CA X essentially verbatim; Confessio Pentapolitana Art. VII adds anti-Zwinglian specificity.",ConfPentapol_1549,"Art. VII",ConfHeptapol_1559,FACTUAL,"Pentapolitana, Heptapolitana, Scepusiana all affirm real presence. Check Csepregi & Kónya critical edition for precise wording."
L1.1,UTRAQUIST,OLD,"realist_conservative","Substantially Catholic doctrine of real presence retained from pre-Hussite practice. No independent reformulation — the theological question was not *what* is present but *how* the laity receive (sub utraque).",AgCeska_1581,"Mass rite in Benka ed. pp. 131-150; elevation and adoration rubrics preserved",David_MiddleWay,INTERPRETIVE,"Old-Utraquists never produced a distinct Eucharistic theology. Their practice implies real presence but their silence is itself significant."
L1.1,UTRAQUIST,NEO,"reformed_ambiguity","Neo-Utraquist Confessio Bohemica (1575) uses deliberately ambiguous formulations that allow both Lutheran and Reformed readings of the Eucharistic presence. Political compromise text.",ConfBohem_1575,"Art. XIX-XX",Haberkern_2023,INTERPRETIVE,"Haberkern (2023) analyses the 'archaeological' layering of the Confessio Bohemica. The ambiguity is strategic, not accidental."
L1.1,UNITY,EARLY,"quasi_memorialist","Early radical position under Chelčický's influence: bread and wine as signs pointing to a spiritual reality. Near-Zwinglian but without Zwingli's philosophical framework. Rejected by mainstream Unity after 1490s.",Chelcicky_Siet,"",Atwood_CzBrethren,FACTUAL,"Chelčický's position precedes the Zwingli–Luther debate by decades. Context is anti-Catholic rather than intra-Protestant."
L1.1,UNITY,MATURE,"spiritual_presence","Post-Lukáš Pražský shift (c. 1500–1520s): Christ truly present but spiritually, not corporally. The bread and wine are not bare signs but instruments through which the Spirit communicates Christ. Closer to Calvin than to either Luther or Zwingli, but pre-dates Calvin.",ConfFidei_1535,"Art. X (Crews EN trans.)",Crews_2018,FACTUAL,"Lukáš engineered this shift against internal opposition. Luther wrote a preface to the 1535 Confession despite the Eucharistic difference — a remarkable ecumenical gesture."
L1.1,UNITY,BLAHOSLAV,"spiritual_presence_refined","Blahoslav generation maintains Lukáš's spiritual-presence position but with greater theological sophistication. Expressed primarily through hymnic and liturgical language rather than new doctrinal formulation.",KancIvanc_1564,"Eucharistic hymns — specific numbers TBD",Mladejovska_2008,INTERPRETIVE,"This is precisely the layer that Tranovský encountered and adapted. The hymns carry the theology."
L1.2,LUTHERAN,CONFESSIONAL,"sub_utraque_normative","Communion in both kinds (bread and wine) for all communicants is normative. CA XXII argues this from Scripture and early Church practice. Infant communion not practised.",BookConcord_1580,"CA XXII (BSELK pp. 92-93)",,FACTUAL,""
L1.2,UTRAQUIST,OLD,"sub_utraque_foundational","Communion in both kinds is THE defining mark — the theological *raison d'être* of the entire movement. Lay chalice defended since Jakoubek ze Stříbra (c. 1414). Infant communion practised in some communities.",ArtPrag_1420,"First Article",Krmickova_BRRP3,FACTUAL,"The chalice is not merely a practice but an identity. Krmíčková traces Jakoubek's theological reasoning to Matěj of Janov's Regulae."
L1.2,UTRAQUIST,NEO,"sub_utraque_continued","Lay chalice continues as identity marker but increasingly shared with Lutherans (who also practise sub utraque). The distinctive becomes less distinctive as Protestantism spreads.",AgCeska_1581,"Communion rite, Benka ed.",Graham_2006,INTERPRETIVE,"Graham (2006) argues NO Lutheran influence on the Utraquist Mass itself — the shared practice arose independently."
L1.2,UNITY,MATURE,"sub_utraque_assumed","Both kinds for communicants, but without the identity-weight the Utraquists attach to it. For the Unity, the chalice is simply correct practice, not a confessional banner.",ConfFidei_1535,"Art. X",,FACTUAL,"The Unity did not need to *fight* for the chalice — they inherited it as obvious."
L1.3,LUTHERAN,CONFESSIONAL,"anti_sacrificial","The Mass is NOT a sacrifice offered to God for the sins of the living and the dead. It is a testament and gift of God received by faith. Luther's De captivitate Babylonica (1520) is the decisive polemic.",Luther_DeCaptiv_1520,"WA 6, pp. 512-526",BookConcord_1580,FACTUAL,"CA XXIV reformulates positively: the Mass is retained 'with the highest reverence' but as thanksgiving, not propitiatory sacrifice. FC does not add substantially."
L1.3,UTRAQUIST,OLD,"sacrificial_retained","Old-Utraquists retain the sacrificial language of the Mass. The canon is preserved, elevation performed, sacrificial prayers maintained. Liturgically, they are closer to Rome than to Wittenberg on this point.",AgCeska_1581,"Mass rite — canon and offertory prayers, Benka ed. pp. 131-150",Graham_2006,INTERPRETIVE,"Graham's finding is critical: liturgical practice persisted even where doctrinal documents converged with Protestantism. This is the lex orandi argument in action."
L1.3,UTRAQUIST,NEO,"sacrificial_attenuated","Neo-Utraquist practice shows gradual attenuation of sacrificial language but never a clean break. The Agenda Česká 1581 is a compromise document — some sacrificial elements removed, others softened.",AgCeska_1581,"Benka ed. analysis of Eucharistic prayers",Chalupsky_2024,INTERPRETIVE,"Chalupský shows the editors were 'creatively independent' — neither purely Lutheran nor purely Catholic."
L1.3,UNITY,MATURE,"memorial_thanksgiving","The Lord's Supper is a memorial and thanksgiving, emphatically not a sacrifice. Early Unity hostility to the Mass as institution reinforced this. No sacrificial language in Unity communion orders.",ConfFidei_1535,"Art. X",Landova_2014,FACTUAL,"Landová's monograph on Unity liturgy should confirm the details of the communion rite. HIGH PRIORITY to acquire."
L1.5,LUTHERAN,CONFESSIONAL,"verba_consecratory","The words of institution (verba Christi) effect what they say. They are not merely recitative but consecratory — though not in the Catholic ex opere operato sense. The Word makes the sacrament.",BookConcord_1580,"FC SD VII.73-82 (BSELK pp. 995-999)",,FACTUAL,"Luther: 'the Word does everything.' The FC insists on the verba as necessary and sufficient."
L1.5,UTRAQUIST,OLD,"verba_catholic_form","Words of institution within the traditional canon. Consecratory theology essentially Catholic — the priest's words, in the proper liturgical context, effect the change.",AgCeska_1581,"Canon of the Mass, Benka ed.",,INTERPRETIVE,"The silence about *how* the words work, combined with retention of the full canon, implies Catholic consecratory theology."
L1.5,UNITY,MATURE,"verba_commemorative","Words of institution recited as Christ's command and promise, not as a formula effecting a change in the elements. The emphasis falls on the community's faithful reception, not on the moment of consecration.",ConfFidei_1535,"Art. X",,INTERPRETIVE,"This maps onto the spiritual-presence position: if presence is spiritual rather than corporeal, consecration becomes proclamation rather than transformation."
L2.1,LUTHERAN,CONFESSIONAL,"congregatio_sanctorum","The church is the congregation of saints (assembly of all believers) among whom the Gospel is purely preached and the sacraments rightly administered. Invisible church (true believers) distinguished from visible institution.",BookConcord_1580,"CA VII (BSELK pp. 60-61); CA VIII",,FACTUAL,"CA VII's definition is deliberately minimal — 'satis est' (it suffices) to agree on Gospel and sacraments."
L2.1,UTRAQUIST,OLD,"ecclesia_reformanda","The church is the one catholic church, in need of reform but not replacement. Utraquists never claimed to be a separate church — they were the *true* Catholics of Bohemia, correcting abuses while maintaining continuity.",Hus_DeEccl_1413,"passim",David_MiddleWay,INTERPRETIVE,"David's 'middle way' thesis rests on this self-understanding. Hus's De Ecclesia is formally about the universal church, not a new institution."
L2.1,UNITY,MATURE,"ecclesia_voluntaria","The church is a voluntary community of committed believers, distinguished from both the Catholic institutional church and the Utraquist territorial church. Membership requires moral commitment, not merely geographical location.",ConfFidei_1535,"Art. VIII-IX",Atwood_CzBrethren,FACTUAL,"This 'gathered church' model is the Unity's most distinctive ecclesiological contribution — and the point of greatest tension with both Luther and the Utraquists."
L2.3,LUTHERAN,CONFESSIONAL,"successio_doctrinae","Apostolic succession is succession in true apostolic *teaching*, not unbroken chain of episcopal ordination. The ministry is validated by fidelity to the Gospel, not by institutional lineage.",BookConcord_1580,"Tractatus de Potestate Papae (BSELK pp. 469-501)",,FACTUAL,""
L2.3,UTRAQUIST,OLD,"successio_episcopal_maintained","Utraquists desperately sought valid episcopal ordination — the Venice ordinations (1467-era for Unity; Utraquists sought ordination from Italian bishops earlier) show the importance of maintaining the episcopal succession.",CompBasil_1436,"",David_MiddleWay,INTERPRETIVE,"The Utraquist anxiety about valid ordination reveals how deeply they remained within the Catholic ecclesiological framework."
L2.3,UNITY,MATURE,"successio_waldensiana","The Unity obtained episcopal consecration through Waldensian succession (Lhotka 1467) — an independent episcopal line bypassing Rome. This was a radical institutional innovation, creating apostolic succession without papal approval.",ActaUF,"Lhotka records",Rican_Dejiny,FACTUAL,"The Waldensian succession was contested even within the Unity. It represents a genuine tertium quid between Catholic succession and Protestant rejection of succession."
L3.1,LUTHERAN,CONFESSIONAL,"sola_fide_forensic","Justification by faith alone, understood forensically: God declares the sinner righteous on account of Christ's merit, received through faith. Justification is God's verdict, not a process of moral improvement.",BookConcord_1580,"CA IV; FC SD III (BSELK pp. 919-939)",,FACTUAL,""
L3.1,UNITY,MATURE,"fides_formata","Faith that justifies is never 'alone' in the sense of isolated from its fruits. While the Unity affirmed justification by faith, they insisted on faith 'formed by love' (fides caritate formata) — sanctification inseparable from justification.",ConfFidei_1535,"Art. VI-VII",Atwood_CzBrethren,FACTUAL,"This is NOT the Roman Catholic position on merit — but it is closer to it than the strict Lutheran forensic model. The tension is real and theologically productive."
