canonical_term,locus_code,latin,czech_16c,german_16c,slovak_cs,semantic_field,notes
real_presence,L1.1,praesentia realis; praesentia vera et substantialis; vere et substantialiter adesse,pravá a podstatná přítomnost; opravdivě přítomen,wahrhaftig gegenwärtig; wesentliche Gegenwart; wahrer Leib und Blut,pravá a podstatná prítomnosť; opravdivě prítomný,MODE_OF_PRESENCE,"FC SD VII key term. Czech forms attested in Confessio Bohemica and neo-Utraquist texts."
in_with_under,L1.1,in pane; sub pane; cum pane; in/sub/cum,pod spůsobou chleba a vína; pod způsobou,unter der Gestalt des Brots und Weins; in/mit/unter dem Brot,pod spôsobou chleba a vína,MODE_OF_PRESENCE,"Characteristic Lutheran prepositional formula. The triple preposition appears in FC SD VII."
spiritual_presence,L1.1,spiritualis praesentia; praesentia spiritualis; spiritu praesens,duchovní přítomnost; duchovně přítomen,geistliche Gegenwart; geistlich gegenwärtig,duchovná prítomnosť; duchovne prítomný,MODE_OF_PRESENCE,"Unity (mature) position. Also used in some neo-Utraquist formulations. Distinct from both Luther and Zwingli."
body_of_christ_sacramental,L1.1,corpus Christi; verum corpus; corpus et sanguis,tělo Kristovo; pravé tělo; tělo a krev,Leib Christi; wahrer Leib; Leib und Blut,telo Kristovo; pravé telo; telo a krv,EUCHARISTIC_ELEMENTS,"Shared across all traditions but with different ontological claims attached."
figurative_sign,L1.1,signum; figura; significat; repraesentat; typus,znamení; figůra; znamená; značí,Zeichen; Bedeutung; bedeutet,znamenie; značí,MODE_OF_PRESENCE,"Used by early Unity and in anti-Zwinglian polemic (where Lutherans attribute this view to opponents)."
bread_and_wine,L1.1,panis et vinum; species panis et vini; elementa,chléb a víno; spůsoby chleba a vína,Brot und Wein; Gestalt des Brots,chlieb a víno; spôsoby chleba a vína,EUCHARISTIC_ELEMENTS,"Universal but theologically loaded: what happens to the bread and wine IS the question."
transubstantiation,L1.1,transsubstantiatio; conversio substantiae,přepodstatnění; proměnění podstaty,Verwandlung der Substanz; Transsubstantiation,prepodstatnenie,MODE_OF_PRESENCE,"Rejected by all three traditions (though with different intensity). The term itself is the polemical target."
sub_utraque,L1.2,sub utraque specie; communio sub utraque; calix laicorum,pod obojí; pod obojí způsobou; kalich lidu,unter beiderlei Gestalt; beider Gestalt; Kelch für die Laien,pod obojím; pod obojím spôsobom; kalich ľudu,COMMUNION_PRACTICE,"THE Utraquist identity marker. Shared practice with Lutherans but different theological weight."
chalice,L1.2,calix; poculum; calix Domini; calix sanguinis,kalich; kalich Páně; kalich krve,Kelch; Kelch des Herrn; Kelch des Bluts,kalich; kalich Pánov; kalich krvi,COMMUNION_PRACTICE,"Metonymy for sub utraque communion. 'Kalich' is the single most identity-laden word in Czech Reformation."
infant_communion,L1.2,communio infantium; communio parvulorum,přijímání dítek; přijímání nemluvňátek,Kinderkommunion; Kommunion der Kinder,prijímanie detí; prijímanie nemluvniat,COMMUNION_PRACTICE,"Practised by some old-Utraquists; rejected by Lutherans and Unity. Attested in Hussite sources."
worthy_reception,L1.2,digne accipere; digne communicare; examinatio; probatio,hodně přijímati; hodné přistupování; zpytování,würdig empfangen; Prüfung; Selbstprüfung,hodne prijímať; hodné pristupovanie; spytovanie,COMMUNION_PRACTICE,"All traditions require preparation, but the Unity's moral requirements were most stringent. 1 Cor 11:28-29 is the common proof text."
sacrifice_of_mass,L1.3,sacrificium missae; oblatio; sacrificium propitiatorium; hostia,oběť mše; obětování; oběť smírná,Messopfer; Opfer der Messe; Sühnopfer,obeť omše; obetovanie; obeť zmierenia,SACRIFICIAL_CHARACTER,"Rejected by Lutherans and Unity; retained (with modifications) by old-Utraquists. The key polemical term."
thanksgiving,L1.3,eucharistia; gratiarum actio; sacrificium laudis,díkůčinění; oběť chvály; díkůvzdání,Danksagung; Lobopfer; Dankopfer,ďakovanie; obeť chvály; ďakovzdanie,SACRIFICIAL_CHARACTER,"Lutheran and Unity replacement term for 'sacrifice': the Supper is thanksgiving, not oblation."
memorial,L1.3,memoriale; commemoratio; anamnesis; in meam commemorationem,památka; na mou památku; připomínka,Gedächtnis; zu meinem Gedächtnis; Erinnerung,pamiatka; na moju pamiatku; pripomienka,SACRIFICIAL_CHARACTER,"Shared across traditions but with different ontological weight: 'mere' memorial (Zwingli) vs. effective memorial (Calvin/Unity) vs. real-presence memorial (Luther)."
words_of_institution,L1.5,verba institutionis; verba Christi; verba testamenti; Hoc est corpus meum,slova ustanovení; slova Kristova; Toto jest tělo mé,Einsetzungsworte; Worte Christi; Das ist mein Leib,slová ustanovenia; slová Kristove; Toto je telo moje,WORDS_OF_INSTITUTION,"Universal but with different functional theology: consecratory (Catholic/Utraquist), effective through faith (Lutheran), commemorative (Unity)."
consecration,L1.5,consecratio; sanctificatio elementorum; benedictio,posvěcení; posvěcení chleba a vína; požehnání,Konsekration; Weihung; Einsegnung,posvätenie; posvätenie chleba a vína; požehnanie,WORDS_OF_INSTITUTION,"A contested concept: is there a 'moment' of consecration? Old-Utraquists say yes (within the canon); Lutherans tie it to the verba; Unity downplays the concept."
elevation,L1.4,elevatio; elevatio hostiae; ostensio,pozdvihování; pozdvižení; ukazování,Elevation; Erhebung; Erhöhung,pozdvihovanie; pozdvihnutie; ukazovanie,EUCHARISTIC_PIETY,"Retained by old-Utraquists (implies real presence and adoration); rejected by Lutherans (adiaphoron at best); absent in Unity."
adoration_of_sacrament,L1.4,adoratio sacramenti; cultus eucharisticus; veneratio,klanění svátosti; uctívání; pokloňování,Anbetung des Sakraments; Sakramentsverehrung,klaňanie sviatosti; uctievanie; pokloňovanie,EUCHARISTIC_PIETY,"Rejected by Lutherans (FC SD VII.126 explicitly) and Unity; retained by old-Utraquists as part of Catholic liturgical inheritance."
church_visible,L2.1,ecclesia visibilis; ecclesia externa; coetus vocatorum,církev viditelná; církev zevnitřní; shromáždění povolaných,sichtbare Kirche; äußerliche Kirche; Versammlung der Berufenen,cirkev viditeľná; cirkev vonkajšia; zhromaždenie povolaných,NATURE_OF_CHURCH,"All three traditions use the visible/invisible distinction but weight them differently."
church_invisible,L2.1,ecclesia invisibilis; ecclesia abscondita; communio sanctorum vera,církev neviditelná; církev skrytá; pravé obecenství svatých,unsichtbare Kirche; verborgene Kirche; wahre Gemeinschaft der Heiligen,cirkev neviditeľná; cirkev skrytá; pravé spoločenstvo svätých,NATURE_OF_CHURCH,"Lutherans emphasise this as primary reality; Utraquists less comfortable with the distinction; Unity's voluntary membership model complicates it (their visible church claims to approximate the invisible)."
congregation_of_saints,L2.1,congregatio sanctorum; coetus sanctorum; societas fidei,shromáždění svatých; sbor svatých; společnost víry,Versammlung der Heiligen; Gemeinde der Gläubigen,zhromaždenie svätých; zbor svätých; spoločnosť viery,NATURE_OF_CHURCH,"CA VII definition. Key term shared with Unity but with different sociological implications."
universal_priesthood,L2.2,sacerdotium universale; sacerdotium omnium baptizatorum; sacerdotium regale,kněžství obecné; kněžství všech pokřtěných; královské kněžství,allgemeines Priestertum; Priestertum aller Getauften; königliches Priestertum,kňazstvo všeobecné; kňazstvo všetkých pokrstených; kráľovské kňazstvo,MINISTRY_AND_ORDERS,"Luther's foundational principle. Unity accepts in theory but maintains strong clerical-lay distinction in practice. Utraquists retain Catholic sacerdotal model."
ordained_ministry,L2.2,ministerium ordinatum; ministerium verbi et sacramentorum; vocatio,služba řádně povolaná; služba slova a svátostí; povolání,ordentliches Predigtamt; Amt des Wortes und der Sakramente; Berufung,služba riadne povolaná; služba slova a sviatostí; povolanie,MINISTRY_AND_ORDERS,"CA XIV: no one should preach or administer sacraments without 'rite vocatus'. All three traditions maintain an ordered ministry."
episcopal_succession,L2.3,successio episcopalis; ordo episcoporum; cathedra apostolica,biskupská posloupnost; řád biskupů; stolice apoštolská,bischöfliche Sukzession; Ordnung der Bischöfe; apostolischer Stuhl,biskupská postupnosť; rad biskupov; stolica apoštolská,APOSTOLIC_SUCCESSION,"Maintained by Utraquists (anxiously) and Unity (via Waldensian line); relativised by Lutherans in favour of successio doctrinae."
succession_of_doctrine,L2.3,successio doctrinae; continuitas doctrinae; fidelitas evangelii,posloupnost učení; věrnost evangeliu,Nachfolge der Lehre; Treue zum Evangelium; Lehrfolge,postupnosť učenia; vernosť evanjeliu,APOSTOLIC_SUCCESSION,"Distinctively Lutheran reformulation: what matters is not the chain of ordination but fidelity to apostolic teaching."
church_discipline,L2.4,disciplina ecclesiastica; excommunicatio; admonitio fraterna; Kirchenzucht,kázeň církevní; vyobcování; bratrské napomínání,Kirchenzucht; Bann; brüderliche Ermahnung,cirkevná disciplína; vylúčenie; bratské napomínanie,CHURCH_DISCIPLINE,"THE distinctive Unity practice. Their 'Minor Party' (strict discipline) vs. 'Major Party' (laxer) split shaped Unity identity. Luther rejected disciplinary excommunication."
sola_fide,L3.1,sola fide; fide sola; per solam fidem,pouhou vírou; samou vírou; jedině vírou,allein durch den Glauben; sola fide; durch den Glauben allein,jedine vierou; samou vierou; len vierou,JUSTIFICATION,"The Lutheran watchword. Unity accepted the principle but insisted on visible fruits — hence the 'fides formata' tension."
imputation,L3.1,imputatio; iustitia aliena; iustitia Christi imputata; non-imputatio peccati,přičtení; cizí spravedlnost; nepřičítání hříchu,Zurechnung; fremde Gerechtigkeit; Anrechnung; Nichtanrechnung der Sünde,pripočítanie; cudzia spravodlivosť; nepripočítanie hriechu,JUSTIFICATION,"Forensic justification concept. The sinner is declared righteous by having Christ's righteousness credited to them. Distinctively Lutheran emphasis."
faith_formed_by_love,L3.1,fides caritate formata; fides actuosa; fides quae per caritatem operatur,víra láskou činná; víra skrze lásku dělající,der Glaube der durch die Liebe tätig ist; tätiger Glaube,viera láskou činná; viera skrze lásku konajúca,JUSTIFICATION,"Gal 5:6 formulation. Unity position. Not identical to Tridentine 'fides formata' but closer to it than to strict forensic imputation."
sanctification,L3.2,sanctificatio; renovatio; nova vita; vivificatio,posvěcení; obnovení; nový život; oživení,Heiligung; Erneuerung; neues Leben; Neubelebung,posvätenie; obnovenie; nový život; oživenie,SANCTIFICATION,"Unity emphasis: sanctification inseparable from justification. Lutheran emphasis: sanctification follows justification but is not its ground."
new_obedience,L3.2,nova obedientia; obedientia fidei; fructus fidei; bona opera,nová poslušnost; poslušnost víry; ovoce víry; dobré skutky,neuer Gehorsam; Gehorsam des Glaubens; Früchte des Glaubens; gute Werke,nová poslušnosť; poslušnosť viery; ovocie viery; dobré skutky,SANCTIFICATION,"CA VI affirms good works as necessary fruit of faith. Unity would say the same but with greater practical emphasis (disciplina vitae)."
sola_scriptura,L4.1,sola scriptura; scriptura sacra; verbum Dei scriptum; sufficientia scripturae,jedině Písmo; Písmo svaté; slovo Boží psané,allein die Schrift; die heilige Schrift; geschriebenes Wort Gottes,jedine Písmo; Písmo sväté; slovo Božie písané,BIBLICAL_AUTHORITY,"All three traditions affirm Scripture's primacy but differ on the role of supplementary authorities (councils, Fathers, tradition)."
bibličtina,L4.5,lingua biblica bohemica; lingua Kralicensis; sermo biblicus,biblická čeština; bibličtina; kralická čeština,biblisches Tschechisch; Kralitzer Sprache,biblická čeština; bibličtina; kralická čeština,LITURGICAL_LANGUAGE,"The language of the Kralice Bible (1579-1593), used as the liturgical register across traditions. This shared linguistic medium both enabled and concealed theological differences."
vernacular_principle,L4.5,lingua vernacula; sermo vulgaris; lingua populi,jazyk obecný; řeč lidu; mateřský jazyk,Volkssprache; Muttersprache; Landessprache,jazyk obecný; reč ľudu; materinský jazyk,LITURGICAL_LANGUAGE,"All three traditions affirmed vernacular worship but at different rates: Hussites earliest (1400s), Lutherans following (1520s). The Unity's bibličtina became a supra-vernacular literary standard."
